"","BroodID","FemaleRing","MaleRing","ClutchSize","EggNumber"
"619","1763","M001167","M038199",3,1
"620","1764","M008108","M031640",7,5
"621","1765","M031886","M041195",3,2
"622","1766",NA,NA,0,5
"623","1768","M035417","M042152",14,5
"624","1769","M031969","M031532",6,5
"625","1770",NA,NA,0,1
"626","1771","M037569","M031774",7,1
"627","1773","M031552","M038165",9,6
"628","1774","M037857","M037858",7,4
"629","1775","M031590",NA,9,5
"630","1776","M038076","M031694",7,6
"631","1777","M031841","M028934",6,4
"632","1778","M031529","M031830",6,4
"633","1781","M031605","M038422",10,8
"634","1784","M032352",NA,10,9
"635","1785","M032127","M038416",8,5
"636","1787","M027970","M027966",8,3
"637","1788","M042143","M042147",9,4
"638","1789","M031706",NA,6,1
"639","1790","M031557","M031655",7,3
"640","1791","M037595","M037596",8,4
"641","1792","M031610","M031598",9,3
"642","1794","M034644",NA,6,1
"643","1797","M028817","M028910",8,5
"644","1798","M031791",NA,7,4
"645","1799","M032446","M031727",7,6
"646","1800",NA,NA,0,5
"647","1802","M032231",NA,2,1
"648","1803","M037880","M031887",5,4
"649","1805","M008102",NA,7,1
"650","1806","M031618","M004210",8,5
"651","1807","M031720",NA,9,7
"652","1808","M037599",NA,7,7
"653","1809","M031780","M034837",4,3
"654","1810",NA,NA,0,1
"655","1811","M031552",NA,4,4
"656","1812","M034986",NA,7,3
"657","1813","M034529","M038488",8,1
"658","1814","M031528","M031727",11,6
"659","1815","M032187","M034670",8,1
"660","1817","M037867",NA,5,4
"661","1819",NA,NA,5,4
"662","1820",NA,NA,0,2
"663","1821",NA,NA,6,3
"664","1823","M032219","M037568",7,5
"665","1824",NA,NA,8,6
"666","1825",NA,NA,7,6
"667","1862","M007980","M011625",0,8
"668","1899","M032129","M031652",7,7
"669","1900","M037615","M038124",6,6
"670","1901","M038109","M028786",4,4
"671","1902","M022866","M042180",7,7
"672","1903","M031751","M031558",5,5
"673","1904","M028938","M031651",6,6
"674","1905","M038111","M042115",5,5
"675","1906","M037882","M038338",5,5
"676","1907","M033604",NA,3,3
"677","1908","M031791","M022947",5,5
"678","1909","M031884","891906",5,5
"679","1910","M038109",NA,9,9
"680","1911","M038044","M026276",5,5
"681","1912","M031807","M038488",8,8
"682","1913","M037800","M032449",6,6
"683","1914","M032005",NA,5,5
"684","1915","M040550","M034825",5,5
"685","1916","M021116","M038250",6,12
"686","1917","M032352","M031653",6,5
"687","1918","M038113","M038007",5,5
"688","1919","M038112","M028912",6,6
"689","1920","M032446","M032330",6,6
"690","1921",NA,NA,7,7
"691","1922",NA,NA,2,2
"692","1923","M037643","M032400",6,6
"693","1924","M028824","M031855",5,5
"694","1925",NA,"M038418",6,6
"695","1926","M037936","M031730",6,6
"696","1927","M042178","M037564",5,10
"697","1928","M031848","M038416",6,5
"698","1929","M036781",NA,5,5
"699","1930","M042143",NA,5,5
"700","1931","M036753","M038115",8,8
"701","1932","M038116","M038117",5,5
"702","1933","M001167","M043605",5,5
"703","1934","M042887","M038080",5,5
"704","1935","M032043",NA,6,6
"705","1936","M038468",NA,5,5
"706","1937","M038127","M038126",5,5
"707","1938","M031618",NA,5,5
"708","1939","M038114",NA,5,5
"709","1940","M033836","M040522",6,6
"710","1941","M031605","M031799",6,6
"711","1942","M038128","M040560",5,5
"712","1943","M037672","M037568",5,5
"713","1944","M040501",NA,5,5
"714","1945","M037980",NA,4,4
"715","1946","M037811",NA,4,4
"716","1947","M028817","M004239",4,4
"717","1948","M038123","M037759",4,4
"718","1949","M038118",NA,6,6
"719","1950","M037719","M027989",5,5
"720","1951","M032146",NA,4,4
"721","1952","M037679","M036777",6,6
"722","1953","M037891","M043729",6,6
"723","1954","M038125","M037610",5,5
"724","1956","M032226","M038418",6,6
"725","1957","M037627","M034837",7,7
"726","1958","M031720","M037937",9,9
"727","1959","M032005","M026332",8,8
"728","1960",NA,NA,4,4
"729","1962","M040502","M037655",7,7
"730","1963","M038323","M037912",5,5
"731","1964","M032320",NA,7,7
"732","1965","M036781",NA,10,10
"733","1966",NA,NA,2,2
"734","1967","M038342","M038059",7,7
"735","1968",NA,NA,1,1
"736","1970","M027838","M004351",5,5
"737","1971","M042109","M043579",7,6
"738","1972","M031618",NA,6,6
"739","1975",NA,NA,7,7
"740","1976","M038118",NA,5,5
"741","1979","M032043",NA,6,6
"742","1980","M040582","M038097",5,5
"743","1981",NA,NA,6,6
"744","1983","M038215","M040585",4,4
"745","1986","M028817","M004239",6,6
"746","1987","M028938","M031651",6,6
"747","1988","M038044","M026276",6,6
"748","1989","M028824","M031833",3,3
"749","1990","M037779",NA,6,6
"750","1991","M031807","M038488",6,6
"751","1992","M034644","M031801",5,5
"752","1993","M031590","M040585",5,5
"753","1994","M038125","M029092",6,6
"754","1995","M033836",NA,7,5
"755","1996","M039430","M027966",4,4
"756","1997","M032320",NA,7,7
"757","1998",NA,NA,4,4
"758","1999","M038128","M034645",7,6
"759","2000","M043657","M034646",5,5
"760","2001","M037672","M037568",8,8
"761","2002","M043675","M038212",5,5
"762","2003","M043658","M043659",5,5
"763","2004","M043682","M042156",6,6
"764","2005","M028977","M043668",4,4
"765","2006","M032226","M028934",8,8
"766","2007","M043681","M031727",9,9
"767","2009","M031841","M032400",6,6
"768","2010","M032146","M035404",5,5
"769","2011","M038012","M038321",4,4
"770","2012","M037643","M031652",8,8
"771","2013","M040588","M034825",8,8
"772","2014","M027838","M036843",6,6
"773","2015","M043700","M037622",7,7
"774","2016","M042109","M043801",7,7
"775","2017","M043697","M032315",5,5
"776","2018","M031751",NA,4,4
"777","2019","M043802","M043803",5,5
"778","2020","M043689","M028786",5,5
"779","2021","M043555","M043669",7,7
"780","2022","M043670",NA,5,5
"781","2023","M031886","M043671",5,5
"782","2024","M040586","M040587",5,5
